Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Wednesday_18_hrs,1,40.726237499999996,-73.99768125,16.875,16.125,18.0,16
Wednesday_18_hrs,13,40.77924375,-73.96303125,20.8125,16.6875,18.0,16
Wednesday_18_hrs,2,40.64491666666667,-73.78261666666667,11.333333333333334,15.333333333333334,18.0,6
Wednesday_18_hrs,9,40.74471739130435,-73.99652173913044,24.52173913043478,17.217391304347824,18.0,23
Wednesday_18_hrs,10,40.762460000000004,-73.98741333333334,21.133333333333333,16.733333333333334,18.0,15
Wednesday_18_hrs,0,40.75574864864865,-73.97723243243243,20.72972972972973,16.675675675675677,18.0,37
Wednesday_18_hrs,16,40.6832,-73.97611666666667,17.166666666666668,16.166666666666668,18.0,6
Wednesday_18_hrs,19,40.71452307692308,-74.01447692307693,20.307692307692307,16.615384615384617,18.0,13
Wednesday_18_hrs,20,40.6753,-73.9514,9.0,15.0,18.0,2
Wednesday_19_hrs,19,40.711726666666664,-74.00733333333332,18.8,16.4,19.0,15
Wednesday_19_hrs,0,40.75552894736842,-73.97518684210526,17.657894736842106,16.236842105263158,19.0,38
Wednesday_19_hrs,9,40.74226296296296,-73.99637037037037,16.77777777777778,16.11111111111111,19.0,27
Wednesday_19_hrs,1,40.725123809523815,-73.99785238095238,23.0,17.0,19.0,21
Wednesday_19_hrs,16,40.678583333333336,-73.99101666666667,17.166666666666668,16.166666666666668,19.0,6
Wednesday_19_hrs,13,40.77303333333333,-73.96061666666667,16.0,16.0,19.0,6
Wednesday_19_hrs,10,40.76259375,-73.98548124999999,19.9375,16.5625,19.0,16
Wednesday_20_hrs,19,40.7160375,-74.0144,20.375,16.625,20.0,8
Wednesday_20_hrs,12,40.81961666666667,-73.95495,9.0,15.0,20.0,6
Wednesday_20_hrs,9,40.742468,-73.995572,17.96,16.28,20.0,25
Wednesday_20_hrs,0,40.75698205128205,-73.97762051282051,19.94871794871795,16.564102564102566,20.0,39
Wednesday_20_hrs,10,40.76284,-73.98584,19.5,16.5,20.0,10
Wednesday_20_hrs,6,40.7836,-73.84174999999999,5.5,14.5,20.0,2
Wednesday_20_hrs,1,40.72706363636364,-73.99631818181818,17.90909090909091,16.272727272727273,20.0,22
Wednesday_21_hrs,0,40.756026923076924,-73.97752307692308,19.5,16.5,21.0,26
Wednesday_21_hrs,13,40.78311428571429,-73.96688571428571,16.0,16.0,21.0,7
Wednesday_21_hrs,9,40.742935483870966,-73.99964193548387,19.612903225806452,16.516129032258064,21.0,31
Wednesday_21_hrs,10,40.76276,-73.98523,15.3,15.9,21.0,10
Wednesday_21_hrs,16,40.68082857142857,-73.98887142857143,17.0,16.142857142857142,21.0,7
Wednesday_21_hrs,7,40.7209,-73.956075,16.0,16.0,21.0,4
Wednesday_21_hrs,1,40.72729090909091,-73.99738636363637,20.136363636363637,16.59090909090909,21.0,22
Wednesday_22_hrs,6,40.76896,-73.8558,14.6,15.8,22.0,5
Wednesday_22_hrs,0,40.7571125,-73.97585416666666,19.5,16.5,22.0,24
Wednesday_22_hrs,19,40.71421875,-74.008175,22.5625,16.9375,22.0,16
Wednesday_22_hrs,10,40.76477272727273,-73.98521818181818,21.727272727272727,16.818181818181817,22.0,11
Wednesday_22_hrs,9,40.74483636363636,-74.00366818181818,20.454545454545453,16.636363636363637,22.0,22
Wednesday_22_hrs,7,40.714642857142856,-73.958,13.0,15.571428571428571,22.0,7
Wednesday_22_hrs,16,40.68735,-73.9897,2.0,14.0,22.0,2
Wednesday_23_hrs,1,40.7271,-73.99667142857142,21.0,16.714285714285715,23.0,7
Wednesday_23_hrs,0,40.75497777777778,-73.9794,23.77777777777778,17.11111111111111,23.0,9
Wednesday_23_hrs,9,40.74059,-73.99701,20.9,16.7,23.0,10
Thursday_0_hrs,1,40.72606666666667,-73.9907,5.333333333333333,14.333333333333334,0.0,3
Thursday_0_hrs,0,40.7611,-73.9665,13.5,15.5,0.0,2
Thursday_1_hrs,1,40.72305,-74.0072,13.5,15.5,1.0,2
Thursday_5_hrs,1,40.72528,-73.99518,19.8,16.4,5.0,5
Thursday_6_hrs,0,40.7557,-73.97445555555555,17.77777777777778,16.11111111111111,6.0,9
Thursday_6_hrs,13,40.77708888888889,-73.96473333333333,13.88888888888889,15.555555555555555,6.0,9
Thursday_6_hrs,16,40.68925,-73.98045,10.0,15.0,6.0,2
Thursday_6_hrs,1,40.725657142857145,-73.98924285714286,10.0,15.0,6.0,7
Thursday_6_hrs,5,40.693650000000005,-74.1798,13.5,15.5,6.0,2
Thursday_6_hrs,9,40.74,-73.98868333333333,11.166666666666666,15.166666666666666,6.0,6
Thursday_7_hrs,1,40.725375,-73.99132,14.55,15.65,7.0,20
Thursday_7_hrs,9,40.74125,-73.99994166666666,15.25,15.75,7.0,12
Thursday_7_hrs,13,40.77789444444445,-73.95877777777778,12.333333333333334,15.333333333333334,7.0,18
Thursday_7_hrs,7,40.730866666666664,-73.94326666666667,12.333333333333334,15.333333333333334,7.0,3
Thursday_7_hrs,0,40.758449999999996,-73.97405,3.0,14.0,7.0,2
Thursday_7_hrs,19,40.70256666666666,-74.00529999999999,14.666666666666666,15.666666666666666,7.0,3
Thursday_8_hrs,9,40.7385,-73.995325,10.875,15.125,8.0,8
